"individualid" "outputA"
"711" 710 15
"712" 711 15
"713" 712 15
"714" 713 15
"715" 714 22.6831
"716" 715 15
"717" 716 15
"718" 717 15
"719" 718 15
"720" 719 15
"721" 720 15
"722" 721 24.452
"723" 722 15
"724" 723 15
"725" 724 14.003
"726" 725 15
"727" 726 15
"728" 727 15
"729" 728 14.003
"730" 729 16.4604
"731" 730 15
"732" 731 15
"733" 732 15
"734" 733 15
"735" 734 15
"736" 735 21.0377
"737" 736 15
"738" 737 15
"739" 738 15
"740" 739 15
"741" 740 15
"742" 741 15
"743" 742 15
"744" 743 15
"745" 744 21.0377
"746" 745 24.1315
"747" 746 21.9975
"748" 747 15
"749" 748 15
"750" 749 21.6921
"751" 750 15
"752" 751 15
"753" 752 15
"754" 753 15
"755" 754 15
"756" 755 15
"757" 756 15
"758" 757 24.1315
"759" 758 14.4033
"760" 759 15
"761" 760 15
"762" 761 22.6831
"763" 762 15
"764" 763 20.7291
"765" 764 15
"766" 765 15
"767" 766 15
"768" 767 15
"769" 768 16.8926
"770" 769 21.0377
"771" 770 15
"772" 771 15
"773" 772 19.7496
"774" 773 19.7496
"775" 774 15
"776" 775 15
"777" 776 15
"778" 777 15
"779" 778 25.5774
"780" 779 15
"781" 780 15
"782" 781 15
"783" 782 24.8268
"784" 783 15
"785" 784 15
"786" 785 15
"787" 786 15
"788" 787 15
"789" 788 15
"790" 789 14.003
"791" 790 15
"792" 791 4.74743
"793" 792 22.6831
"794" 793 15
"795" 794 15
"796" 795 15
"797" 796 18.7333
"798" 797 21.9975
"799" 798 15
"800" 799 15
"801" 800 15
"802" 801 15
"803" 802 15
"804" 803 15
"805" 804 25.5774
"806" 805 15
"807" 806 15
"808" 807 24.452
"809" 808 15
"810" 809 14.3167
"811" 810 21.9975
"812" 811 15
"813" 812 15
"814" 813 16.8926
"815" 814 21.0377
"816" 815 15
"817" 816 15
"818" 817 15
"819" 818 15
"820" 819 15
"821" 820 15
"822" 821 15
"823" 822 15
"824" 823 15
"825" 824 15
"826" 825 15
"827" 826 15
"828" 827 15
"829" 828 21.0683
"830" 829 15
"831" 830 15
"832" 831 15
"833" 832 15
"834" 833 15
"835" 834 15
"836" 835 15
"837" 836 15
"838" 837 15
"839" 838 19.7496
"840" 839 15
"841" 840 15
"842" 841 15
"843" 842 10.8901
"844" 843 21.6921
"845" 844 22.6831
"846" 845 15
"847" 846 18.7333
"848" 847 15
"849" 848 15
"850" 849 15
"851" 850 15
"852" 851 15
"853" 852 21.9975
"854" 853 15
"855" 854 20.7291
"856" 855 15
"857" 856 24.452
"858" 857 15
"859" 858 15
"860" 859 15
"861" 860 15
"862" 861 15
"863" 862 15
"864" 863 15
"865" 864 15
"866" 865 15
"867" 866 15
"868" 867 15
"869" 868 14.003
"870" 869 15
"871" 870 15
"872" 871 15
"873" 872 15
"874" 873 15
"875" 874 15
"876" 875 15
"877" 876 15
"878" 877 15
"879" 878 15
"880" 879 26.1436
"881" 880 15
"882" 881 15
"883" 882 18.7333
"884" 883 15
"885" 884 16.3889
"886" 885 15
"887" 886 15
"888" 887 21.6566
"889" 888 15
"890" 889 15
"891" 890 16.5312
"892" 891 15
"893" 892 15
"894" 893 15
"895" 894 15
"896" 895 15
"897" 896 15
"898" 897 15
"899" 898 21.0683
"900" 899 15
"901" 900 15
"902" 901 15
"903" 902 15
"904" 903 15
"905" 904 15
"906" 905 15
"907" 906 15
"908" 907 15
"909" 908 15
"910" 909 15
"911" 910 15
"912" 911 15
"913" 912 14.003
"914" 913 16.8926
"915" 914 21.0683
"916" 915 15
"917" 916 15
"918" 917 21.0683
"919" 918 15
"920" 919 11.7744
"921" 920 22.2126
"922" 921 15
"923" 922 15
"924" 923 15
"925" 924 15
"926" 925 15
"927" 926 28.0529
"928" 927 15
"929" 928 15
"930" 929 22.2126
"931" 930 15
"932" 931 15
"933" 932 15
"934" 933 15
"935" 934 15
"936" 935 15
"937" 936 15
"938" 937 15
"939" 938 15
"940" 939 15
"941" 940 15
"942" 941 15
"943" 942 15
"944" 943 21.0683
"945" 944 15
"946" 945 15
"947" 946 15
"948" 947 15
"949" 948 15
"950" 949 14.003
"951" 950 15
"952" 951 15
"953" 952 15
"954" 953 15
"955" 954 15
"956" 955 15
"957" 956 18.7333
"958" 957 15
"959" 958 15
"960" 959 20.7291
"961" 960 15
"962" 961 15
"963" 962 22.2126
"964" 963 15
"965" 964 15
"966" 965 25.5774
"967" 966 15
"968" 967 15
"969" 968 15
"970" 969 15
"971" 970 15
"972" 971 15
"973" 972 15
"974" 973 22.6831
"975" 974 15
"976" 975 15
"977" 976 15
"978" 977 15
"979" 978 15
"980" 979 15
"981" 980 15
"982" 981 7.5
"983" 982 15
"984" 983 15
"985" 984 15
"986" 985 19.7496
"987" 986 15
"988" 987 15
"989" 988 15
"990" 989 15
"991" 990 15
"992" 991 15
"993" 992 15
"994" 993 15
"995" 994 21.9975
"996" 995 15
"997" 996 15
"998" 997 15
"999" 998 15
"1000" 999 15
