"Index" "AAlpha" "ABeta" "BAlpha" "BBeta" "BConc" "AConc"
62 3.6282828283 44.95959596 31.350505051 24.293939394 4.19770047887152 5.3559910014283
63 45.967676768 18.749494949 4.6363636364 48.991919192 52.8418521800781 2.03942165403989
64 30.342424242 22.277777778 35.886868687 42.439393939 5.92369699544952 3.67106097483325
65 37.398989899 45.967676768 5.1404040404 28.326262626 27.7333390113345 4.93285823670426
66 26.31010101 27.822222222 1.1080808081 35.886868687 163.224443951994 4.88489343976399
67 4.1323232323 23.78989899 50 3.6282828283 0.389792476821973 5.27610691363129
68 44.455555556 48.487878788 38.911111111 27.318181818 3.51445972490396 4.89400711752328
69 38.407070707 13.709090909 42.943434343 1.6121212121 0.187671919122662 1.78470924154762
70 48.991919192 34.374747475 12.701010101 16.229292929 6.40362822491653 3.50820586260969
71 13.205050505 12.196969697 8.6686868687 47.983838384 28.2194204023862 4.61683013769628
72 25.302020202 28.326262626 24.293939394 35.382828283 7.3299970149069 4.91170337978227
73 17.237373737 20.765656566 45.463636364 19.757575758 2.20341336678124 4.94640519314833
74 15.725252525 42.943434343 25.806060606 10.684848485 2.11140919258338 5.05340536893829
75 7.1565656566 36.894949495 19.253535354 15.725252525 4.25498251187958 5.16784404763007
76 24.797979798 50 26.814141414 25.806060606 4.84443104108888 5.00993563122651
77 19.757575758 21.26969697 25.302020202 0.1 0.0199776859303175 4.89760865442292
78 27.318181818 40.927272727 46.471717172 24.797979798 2.6753090553763 4.97320049172132
79 11.692929293 0.1 43.447474747 9.6767676768 2.81623441966338e-131 0.0427607529580454
80 28.326262626 16.229292929 37.398989899 25.302020202 3.38642022775305 2.86470784380908
81 49.495959596 2.6202020202 42.439393939 23.78989899 5.17374727241364e-58 0.264688493751535
82 7.6606060606 29.334343434 26.31010101 4.1323232323 0.816907506796147 5.13932528320636
83 43.447474747 8.1646464646 2.1161616162 14.213131313 0.0644458002668087 0.939599545452777
84 47.983838384 9.1727272727 5.6444444444 34.878787879 0.326142342793348 0.955814288095993
85 9.6767676768 35.382828283 7.1565656566 29.334343434 21.1306348088823 5.11029293068821
86 34.878787879 8.6686868687 3.6282828283 41.431313131 56.6699129518022 1.24268752977214
87 25.806060606 33.366666667 21.26969697 7.6606060606 1.81341758736096 4.94960523324871
88 39.415151515 5.6444444444 19.757575758 45.463636364 3.48867317257707e-14 0.71602473003903
89 5.1404040404 1.6121212121 40.423232323 38.407070707 4.63020442584092 1.56808783898443
90 32.358585859 7.1565656566 14.717171717 30.342424242 10.1917719379952 1.10582157081806
91 29.838383838 7.6606060606 0.604040404 0.604040404 4.81708264951545 1.28368311401004
92 24.293939394 26.31010101 36.894949495 6.6525252525 0.906067554082292 4.8988768168192
93 22.781818182 35.886868687 9.1727272727 46.975757576 25.8964272753494 4.98451320250245
94 3.1242424242 47.47979798 20.765656566 8.6686868687 2.29928355734691 5.41291193075277
95 28.83030303 32.358585859 49.495959596 6.1484848485 0.62234548470458 4.90995879546623
96 30.846464646 41.431313131 39.919191919 37.903030303 4.75942014407169 4.95351512733434
97 36.390909091 39.919191919 48.487878788 49.495959596 5.10959220057964 4.8979166247616
98 17.741414141 25.806060606 27.318181818 19.253535354 3.5756162625142 4.98221018229117
99 31.350505051 46.471717172 17.237373737 40.927272727 11.9402586575693 4.96926319746192
100 19.253535354 4.6363636364 22.781818182 42.943434343 9.27476687455806 1.20402896955898
